JENJANG JABATAN YANG VALID,,,GOLONGAN YANG VALID,,,MAPPING JENJANG - GOLONGAN
Jalur Terampil:,,,Jalur Terampil:,,,
Pelaksana,,,II/b,,,Pelaksana: II/b - II/d
Pelaksana Lanjutan,,,II/c,,,Pelaksana Lanjutan: II/d - III/b
Penyelia,,,II/d,,,Penyelia: III/b - III/d
,,,III/a,,,
Jalur Ahli:,,,III/b,,,Jalur Ahli:
Pranata TI Pertama,,,III/c,,,Pranata TI Pertama: III/a - III/d
Pranata TI Muda,,,III/d,,,Pranata TI Muda: III/b - IV/a
Pranata TI Madya,,,,,,Pranata TI Madya: IV/a - IV/c
Pranata TI Utama,,,Jalur Ahli:,,,Pranata TI Utama: IV/c - IV/e
,,,III/a,,,
,,,III/b,,,STATUS KEPEGAWAIAN:
,,,III/c,,,PNS
,,,III/d,,,PPPK
,,,IV/a,,,
,,,IV/b,,,JENIS KELAMIN:
,,,IV/c,,,L (Laki-laki)
,,,IV/d,,,P (Perempuan)
,,,IV/e,,,
